cluster_kmeans,name,years_present,peak_count,trajectory,volatility,recent_mean
0,30,29.0,3747.13,3.9,270.98,2120.67
1,68,29.0,1477.35,1.07,120.24,634.79
2,27,29.0,5321.19,-0.81,253.81,552.02
3,10,29.0,8531.6,-0.71,315.39,1394.24
4,55,29.0,2133.65,-0.72,123.42,316.85
5,31,29.0,1854.74,20.21,113.76,1612.35
6,9,29.0,6145.44,0.23,443.14,2726.44
7,1,29.0,1796.0,651.82,133.06,1454.2
