Logan|Boy,x,x,x,x,x,x,x,x,x,x,80,23,76,Recent Entrant
Ibrahim|Boy,x,x,x,x,x,x,x,x,x,x,x,91,77,Declining Former Favorite
Hunter|Boy,x,x,x,x,x,x,x,x,x,x,x,x,78,
Elias|Boy,x,x,x,x,x,x,x,x,x,x,x,x,79,
Riley|Boy,x,x,x,x,x,x,x,x,x,x,88,35,80,Recent Entrant
Alfred|Boy,11,14,27,49,73,x,x,x,x,x,x,x,81,Intermittent Presence
Bobby|Boy,x,x,x,x,x,x,x,x,x,x,x,71,82,Declining Former Favorite
Finn|Boy,x,x,x,x,x,x,x,x,x,x,x,x,83,
Rupert|Boy,x,x,x,x,x,x,x,x,x,x,x,x,84,
Michael|Boy,46,39,40,7,3,4,6,9,5,12,39,52,85,Steady Classic
Toby|Boy,x,x,x,x,x,x,x,x,x,88,50,42,86,Declining Former Favorite
Myles|Boy,x,x,x,x,x,x,x,x,x,x,x,x,87,
Austin|Boy,x,x,x,x,x,x,x,x,x,x,x,89,88,Declining Former Favorite
Nathan|Boy,x,x,x,x,x,x,x,58,57,27,31,62,89,Declining Former Favorite
Grayson|Boy,x,x,x,x,x,x,x,x,x,x,x,x,90,
Vinnie|Boy,x,x,x,x,x,x,x,x,x,x,x,x,91,
Enzo|Boy,x,x,x,x,x,x,x,x,x,x,x,x,92,
Yahya|Boy,x,x,x,x,x,x,x,x,x,x,x,x,93,
Ralph|Boy,66,60,64,76,90,x,x,x,x,x,x,x,94,Intermittent Presence
Ellis|Boy,x,x,x,x,x,x,x,x,x,x,82,94,95,Declining Former Favorite
Milo|Boy,x,x,x,x,x,x,x,x,x,x,x,x,96,
Bodhi|Boy,x,x,x,x,x,x,x,x,x,x,x,x,97,
Elliot|Boy,x,x,x,x,x,x,x,x,x,70,85,83,98,Declining Former Favorite
Brody|Boy,x,x,x,x,x,x,x,x,x,x,x,x,99,
Leon|Boy,x,x,x,x,x,x,x,91,82,x,76,85,100,Declining Former Favorite
Ollie|Boy,x,x,x,x,x,x,x,x,x,x,x,74,x,
Stanley|Boy,23,22,17,39,60,86,x,x,x,x,x,60,x,Intermittent Presence
Carter|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Blake|Boy,x,x,x,x,x,x,x,x,x,x,x,57,x,
