name,gender,cluster,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Minesh,Boy,3,6,7,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macawley,Boy,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zylus,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Arudran,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Billi,Boy,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Hardev,Boy,4,4,6,3,0,3,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabbir,Boy,1,4,7,5,3,0,7,0,0,3,3,3,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuan,Boy,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,7,5,0,5,5,0,0,0,0,0,0,0,0,0,0
Codrin,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Kazim,Boy,1,5,5,6,0,7,4,6,4,10,5,5,4,6,6,3,6,4,6,5,7,0,5,7,5,3,0,6,5,7
Ahmed-Raza,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
Sholto,Boy,3,5,5,0,0,4,3,0,7,3,0,4,6,4,0,3,0,3,4,5,0,3,0,0,3,0,0,0,0,0
Jayme,Boy,1,4,0,8,7,4,5,7,8,0,7,10,3,5,8,0,9,5,0,5,0,0,0,0,0,0,0,0,3,0
Demar,Boy,4,0,0,0,0,0,0,0,0,3,5,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Jemaine,Boy,3,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee-Junior,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,4,3,6,7,3,5,0,0,0,4
Reuben-Lee,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,3,0,10
Kace,Boy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,7,6,7,3,4,4,3
Tee,Boy,0,0,0,0,0,0,3,3,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sethan,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulaimaan,Boy,0,5,8,8,11,7,13,5,12,6,9,8,10,3,6,7,6,0,4,7,5,0,0,5,3,3,5,4,5,0
Cynan,Boy,4,3,3,0,3,3,3,5,8,7,7,10,3,10,7,10,6,10,6,8,7,4,6,7,4,7,0,5,5,3
Klesti,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0
D',Boy,4,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdul-Rafay,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,4,4
