cluster,count,avg_years_present,avg_peak_count,avg_trajectory,avg_volatility,avg_recent_mean,avg_early_mean,avg_longest_run,archetype,examples
0,15924,29.0,15.15008791760864,-0.22693347599364108,2.7011354802568905,2.0832454157246922,7.884890730972117,29.0,Consistently Rare,"Ellen, Paul, Catherine"
1,41,29.0,4120.658536585366,3.4965353290623202,297.3251197387117,2248.326829268293,1050.9268292682927,29.0,Modern Hit,"Oliver, Amelia, Muhammad"
2,86,29.0,1872.0581395348838,-0.7573265459086597,107.62581546894538,251.00930232558142,1480.9930232558138,29.0,Fading Classic,"Laura, Christopher, Holly"
3,12661,29.0,29.40091619935234,4.55911078333668,4.489293753015856,16.993476028749704,3.903783271463549,29.0,Emerging Rare Names,"Corey, Darcey, Ewan"
4,12619,29.0,3.6393533560504,0.3640558988321291,0.9966805823553766,0.47623424994056585,0.004326808780410492,29.0,Extremely Rare,"Gurnawab, Barkat, Novie"
5,6,29.0,9731.833333333334,-0.721204215245943,365.5472251692534,1570.1999999999998,8655.333333333334,29.0,Fading Mega-Hit,"Jack, Daniel, James"
6,201,29.0,1163.7462686567164,27.250837348551293,87.85563615940731,736.6995024875622,217.36517412935325,29.0,Rising Star,"Logan, Mason, Isabelle"
7,32,29.0,5570.78125,-0.7698682549143284,258.11923686443396,721.63125,4796.99375,29.0,Fading Mega-Hit,"Harry, Matthew, Sophie"
