cluster_kmeans,name,years_present,peak_count,trajectory,volatility,recent_mean
0,15924,29.0,15.15,-0.23,2.7,2.08
1,41,29.0,4120.66,3.5,297.33,2248.33
2,86,29.0,1872.06,-0.76,107.63,251.01
3,12661,29.0,29.4,4.56,4.49,16.99
4,12619,29.0,3.64,0.36,1.0,0.48
5,6,29.0,9731.83,-0.72,365.55,1570.2
6,201,29.0,1163.75,27.25,87.86,736.7
7,32,29.0,5570.78,-0.77,258.12,721.63
